id,state_abbr,location,name,lat,lon,remove
OTZthr,AK,Kotzebue,,66.9,-162.59,
LSEthr,WI,La Crosse,,43.81,-91.25,
LCHthr,LA,Lake Charles,,30.22,-93.22,
LHUthr,AZ,Lake Havasu City,,34.47,-114.35,
LALthr,FL,Lakeland,,28.04,-81.95,
WJFthr,CA,Lancaster,,34.7,-118.14,
LNDthr,WY,Lander,,42.83,-108.73,
LANthr,MI,Lansing,,42.73,-84.55,
LRDthr,TX,Laredo,,27.53,-99.5,
LASthr,NV,Las Vegas,,36.17,-115.14,
LAWthr,OK,Lawton,,34.61,-98.39,
LEEthr,FL,Leesburg,,28.81,-81.88,
LWSthr,ID,Lewiston,,46.42,-117.02,
LEXthr,KY,Lexington,,38.05,-84.5,
LIHthr,HI,Lihue,,21.98,-159.37,
LNKthr,NE,Lincoln,,40.81,-96.71,
LITthr,AR,Little Rock,,34.75,-92.27,
LGBthr,CA,Long Beach,,33.77,-118.19,
GGGthr,TX,Longview,,32.5,-94.74,
CQTthr,CA,Los Angeles Downtown,Los Angeles,34.05,-118.26,
SDFthr,KY,Louisville,,38.25,-85.77,
LBBthr,TX,Lubbock,,33.58,-101.85,
LBTthr,NC,Lumberton,,34.62,-79.01,
LYHthr,VA,Lynchburg,,37.41,-79.14,
MCNthr,GA,Macon,,32.84,-83.63,
MAEthr,CA,Madera,,36.96,-120.06,
MSNthr,WI,Madison,,43.07,-89.39,
MHTthr,NH,Manchester,,42.99,-71.46,
MFDthr,OH,Mansfield,,40.76,-82.52,
MTHthr,FL,Marathon,,24.73,-81.04,
MQTthr,MI,Marquette County,Marquette,46.43,-87.64,
MRBthr,WV,Martinsburg,,39.46,-77.96,
MFEthr,TX,McAllen,,26.21,-98.23,
MYLthr,ID,McCall,,44.91,-116.1,
MCKthr,NE,McCook,,40.2,-100.63,
MCGthr,AK,Mcgrath,,62.94,-155.57,
MMVthr,OR,McMinnville,,45.21,-123.2,
MFRthr,OR,Medford,,42.32,-122.88,
MLBthr,FL,Melbourne,,28.08,-80.61,
MEMthr,TN,Memphis,,35.15,-90.05,
MCEthr,CA,Merced,,37.3,-120.49,
MEIthr,MS,Meridian,,32.37,-88.7,
MIAthr,FL,Miami,,25.77,-80.2,
MDTthr,PA,Harrisburg-Middletown,,40.26,-76.88,
MAFthr,TX,Midland-Odessa,,31.83,-102.36,
MLTthr,ME,Millinocket,,45.65,-68.71,
MQEthr,MA,Milton,,42.26,-71.08,
MKEthr,WI,Milwaukee,,43.04,-87.91,
MSPthr,MN,Minneapolis-St Paul,,44.87,-93.2,
MSOthr,MT,Missoula,,46.87,-114,
MHEthr,SD,Mitchell,,43.7,-98.03,
MOBthr,AL,Mobile,,30.69,-88.05,
MBGthr,SD,Mobridge,,45.54,-100.44,
MLIthr,IL,Moline,,41.49,-90.49,
MLUthr,LA,Monroe,,32.51,-92.12,
MGMthr,AL,Montgomery,,32.38,-86.3,
MGWthr,WV,Morgantown,,39.63,-79.96,
MWTthr,AR,Mount Ida,,34.56,-93.63,
MMTN7thr,NC,Mount Mitchell,,35.76,-82.27,
MPOthr,PA,Mount Pocono,,41.12,-75.36,
MHSthr,CA,Mount Shasta,,41.41,-122.2,
MSLthr,AL,Muscle Shoals,,34.74,-87.67,
MKGthr,MI,Muskegon,,43.23,-86.24,
CREthr,SC,Myrtle Beach,,33.69,-78.88,
BNAthr,TN,Nashville,,36.17,-86.78,
ICHL1thr,LA,Natchitoches,,31.76,-93.09,
EEDthr,CA,Needles,,34.84,-114.6,
EWNthr,NC,New Bern,,35.11,-77.04,
NBRN4thr,NJ,New Brunswick,,40.49,-74.44,
MSYthr,LA,New Orleans,,29.95,-90.08,
PHDthr,OH,New Philadelphia,,40.49,-81.45,
NYCthr,NY,New York-Central Park,New York City,40.78,-73.97,
EWRthr,NJ,Newark,,40.73,-74.17,
NCBN6thr,NY,Newcomb,,43.97,-74.12,
OMEthr,AK,Nome,,64.5,-165.41,
OFKthr,NE,Norfolk,,42.03,-97.41,
ORFthr,VA,Norfolk,,36.85,-76.29,
LBFthr,NE,North Platte,,41.14,-100.76,
OQTthr,TN,Oak Ridge,,36.01,-84.26,
OKCthr,OK,Oklahoma City,,35.47,-97.52,
OLMthr,WA,Olympia,,47.04,-122.89,
OMAthr,NE,Omaha,,41.26,-95.94,
OMKthr,WA,Omak,,48.41,-119.53,
ONOthr,OR,Ontario,,44.03,-116.97,
OSPA3thr,AZ,Oracle,,32.61,-110.77,
MCOthr,FL,Orlando,,28.54,-81.38,
OSWN6thr,NY,Oswego,,43.46,-76.51,
LOXthr,CA,Oxnard,,34.2,-119.18,
PAHthr,KY,Paducah,,37.09,-88.6,
PSPthr,CA,Palm Springs,,33.82,-116.51,
PMDthr,CA,Palmdale,,34.58,-118.12,
PKBthr,WV,Parkersburg,,39.26,-81.56,
PDTthr,OR,Pendleton,,45.67,-118.79,
PNSthr,FL,Pensacola,,30.42,-87.22,
PIAthr,IL,Peoria,,40.69,-89.59,
PHLthr,PA,Philadelphia,,39.95,-75.16,
PHXthr,AZ,Phoenix,,33.45,-112.08,
PICS1thr,SC,Pickens,,34.88,-82.71,
PBFthr,AR,Pine Bluff,,34.22,-92,
PITthr,PA,Pittsburgh,,40.44,-80,
PBGthr,NY,Plattsburgh,,44.7,-73.45,
PIHthr,ID,Pocatello,,42.87,-112.45,
POFthr,MO,Poplar Bluff,,36.76,-90.39,
PWMthr,ME,Portland,,43.66,-70.26,
PGWO3thr,OR,Portland Downtown,Portland,45.52,-122.68,
POUthr,NY,Poughkeepsie,,41.71,-73.93,
PVDthr,RI,Providence,,41.82,-71.41,
PUBthr,CO,Pueblo,,38.26,-104.61,
PUWthr,WA,Pullman,,46.73,-117.18,
PGDthr,FL,Punta Gorda,,26.93,-82.05,
UILthr,WA,Quillayute,,47.94,-124.54,
UINthr,IL,Quincy,,39.94,-91.4,
RDUthr,NC,Raleigh,,35.79,-78.64,
UNRS2thr,SD,Rapid City Downtown,Rapid City,44.08,-103.23,
RDGthr,PA,Reading,,40.34,-75.93,
RDDthr,CA,Redding,,40.59,-122.39,
RNOthr,NV,Reno,,39.53,-119.81,
RHIthr,WI,Rhinelander,,45.64,-89.41,
RICthr,VA,Richmond,,37.54,-77.43,
RALthr,CA,Riverside,,33.98,-117.37,
ROAthr,VA,Roanoke,,37.27,-79.94,
ROCthr,NY,Rochester,,43.16,-77.62,
RSTthr,MN,Rochester,,44.02,-92.46,
RFDthr,IL,Rockford,,42.27,-89.08,
ROWthr,NM,Roswell,,33.4,-104.52,
RUEthr,AR,Russellville,,35.28,-93.13,
SMTC1thr,CA,Sacramento Downtown,Sacramento,38.58,-121.5,
MBSthr,MI,Saginaw,,43.42,-83.95,
STCthr,MN,Saint Cloud,,45.57,-94.2,
SLEthr,OR,Salem,,44.93,-123.04,
SLNthr,KS,Salina,,38.84,-97.61,
SBYthr,MD,Salisbury,,38.37,-75.6,
SLNI1thr,ID,Salmon,,45.18,-113.9,
SLCthr,UT,Salt Lake City,,40.76,-111.89,
SJTthr,TX,San Angelo,,31.46,-100.44,
SATthr,TX,San Antonio,,29.42,-98.49,
SANthr,CA,San Diego,,32.72,-117.16,
SFOthr,CA,San Francisco Airport,San Francisco,37.62,-122.38,
SJCthr,CA,San Jose,,37.34,-121.89,
SJUthr,PR,San Juan,,18.47,-66.1,
SFBthr,FL,Sanford,,28.81,-81.27,
SMXthr,CA,Santa Maria,,34.95,-120.43,
SLKthr,NY,Saranac Lake,,44.32,-74.13,
SRQthr,FL,Sarasota,,27.45,-82.58,
ANJthr,MI,Sault Ste Marie,,46.49,-84.35,
SAVthr,GA,Savannah,,32.08,-81.09,
BFFthr,NE,Scottsbluff,,41.86,-103.66,
SEWthr,WA,Seattle City,,47.62,-122.35,
SEAthr,WA,Seattle Tacoma,Tacoma,47.15,-122.51,
SHRthr,WY,Sheridan,,44.8,-106.96,
SHVthr,LA,Shreveport,,32.51,-93.75,
SUXthr,IA,Sioux City,,42.5,-96.42,
FSDthr,SD,Sioux Falls,,43.55,-96.73,
8D3thr,SD,Sisseton,,45.66,-97.04,
AGYthr,AK,Skagway,,59.46,-135.31,
SBNthr,IN,South Bend,,41.68,-86.25,
SPWthr,IA,Spencer,,43.14,-95.14,
GEGthr,WA,Spokane,,47.66,-117.41,
SGFthr,MO,Springfield,,37.21,-93.29,
SPIthr,IL,Springfield,,39.8,-89.64,
STLthr,MO,St Louis,,38.63,-90.2,
SNPthr,AK,St Paul Island,,57.12,-170.27,
SNTthr,ID,Stanley,,44.22,-114.94,
IADthr,VA,Sterling-Dulles Airport,Sterling,39.03,-77.41,
SWOthr,OK,Stillwater,,36.12,-97.06,
SCKthr,CA,Stockton,,37.95,-121.29,
SYRthr,NY,Syracuse,,43.05,-76.15,
TAHC1thr,CA,Tahoe City,,39.17,-120.14,
TKAthr,AK,Talkeetna,,62.32,-150.1,
TLHthr,FL,Tallahassee,,30.44,-84.28,
TVRthr,MS,Tallulah-Vicksburg,,32.35,-91.02,
TPAthr,FL,Tampa,,27.95,-82.46,
TOLthr,OH,Toledo,,41.65,-83.54,
TOPthr,KS,Topeka,,39.05,-95.67,
TTNthr,NJ,Trenton,,40.22,-74.76,
PSCthr,WA,Tri-Cities,,46.25,-119.2,
TUSthr,AZ,Tucson,,32.22,-110.97,
TULthr,OK,Tulsa,,36.15,-95.99,
TUPthr,MS,Tupelo,,34.26,-88.71,
TYRthr,TX,Tyler,,32.35,-95.29,
UKIthr,CA,Ukiah,,39.15,-123.21,
VTNthr,NE,Valentine,,42.87,-100.55,
VUOthr,WA,Vancouver,,45.63,-122.67,
VRBthr,FL,Vero Beach,,27.64,-80.39,
VCTthr,TX,Victoria,,28.81,-97,
ACTthr,TX,Waco,,31.57,-97.15,
WALthr,VA,Wallops Island,,37.84,-75.48,
DCAthr,DC,Washington,Washington DC,38.89,-77.03,
ALOthr,IA,Waterloo,,42.49,-92.34,
AUWthr,WI,Wausau,,44.96,-89.63,
PBIthr,FL,West Palm Beach,,26.71,-80.05,
BAFthr,MA,Westfield,,42.12,-72.75,
HLGthr,WV,Wheeling,,40.06,-80.72,
ICTthr,KS,Wichita,,37.69,-97.34,
SPSthr,TX,Wichita Falls,,33.91,-98.5,
IPTthr,PA,Williamsport,,41.24,-77,
ISNthr,ND,Williston,,48.15,-103.62,
ILGthr,DE,Wilmington,,39.74,-75.55,
ILMthr,NC,Wilmington,,34.23,-77.95,
ILNthr,OH,Wilmington,,39.45,-83.83,
WMCthr,NV,Winnemucca,,40.97,-117.74,
INWthr,AZ,Winslow,,35.02,-110.7,
GIFthr,FL,Winter Haven,,28.02,-81.73,
ORHthr,MA,Worcester,,42.26,-71.8,
YKMthr,WA,Yakima,,46.6,-120.51,
YAKthr,AK,Yakutat,,59.55,-139.73,
YNGthr,OH,Youngstown,,41.1,-80.65,
YUMthr,AZ,Yuma,,32.69,-114.62,
